vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
,,1,PREMIUM PLUS,n,22,3,3,1559669,0
50,,1,PREMIUM PLUS,n,33,4,4,0,0
61,,1,PREMIUM PLUS,n,37,8,8,11203929,0
51,,1,PREMIUM PLUS,n,24,6,6,6504489,0
55,,1,MEDIA,n,9,0,0,2188218,0
44,,1,,n,42,7,7,0,0
,,1,PREMIUM PLUS,n,10,1,1,376156,0
71,,3,PREMIUM PLUS,n,14,3,3,4240473,0
46,,2,PREMIUM PLUS,n,28,7,7,0,0
61,,1,,n,12,0,0,0,0
42,,3,,n,17,1,1,213574,0
73,,2,PREMIUM,n,45,12,12,140072,0
79,,1,PREMIUM PLUS,n,11,0,0,1341240,0
63,,2,PREMIUM PLUS,n,15,0,0,0,0
,,6,PREMIUM PLUS,n,16,0,0,0,0
92,,1,,n,30,10,10,0,0
44,,1,PREMIUM PLUS,n,20,3,3,0,0
48,19,1,,n,15,1,1,4907527,0
50,,1,PREMIUM PLUS,n,39,6,6,13631838,0
,94,2,PREMIUM PLUS,n,101,33,33,0,0
44,,1,PREMIUM PLUS,n,35,5,5,0,0
52,,5,,n,12,1,1,56032,0
76,,1,PREMIUM PLUS,n,15,0,0,405883,0
48,,3,PREMIUM PLUS,n,17,0,0,3347667,0
73,,1,PREMIUM,n,32,11,11,1100995,0
79,,1,PREMIUM PLUS,n,16,0,0,0,0
62,,1,PREMIUM,n,17,3,3,0,0
67,,3,PREMIUM PLUS,n,27,0,0,783669,0
68,75,1,PREMIUM,n,13,0,0,0,0
44,,6,PREMIUM PLUS,n,40,1,1,0,0
64,,1,PREMIUM,n,32,2,2,0,0
82,70,1,PREMIUM PLUS,n,60,21,21,0,0
53,143,3,PREMIUM PLUS,n,14,0,0,0,0
55,,4,PREMIUM,n,70,6,6,2945348,0
83,,2,MEDIA,n,49,11,11,355998,0
,,3,PREMIUM PLUS,n,33,5,5,0,0
117,39,2,PREMIUM PLUS,n,35,9,9,2106418,0
57,,1,PREMIUM PLUS,n,13,2,2,0,0
47,,1,PREMIUM PLUS,n,44,8,8,0,0
48,,2,PREMIUM,n,81,19,19,6563044,0
55,114,2,,n,13,1,1,0,0
,,1,,n,37,2,2,0,0
63,,2,PREMIUM,n,19,1,1,3614987,0
70,,2,PREMIUM PLUS,s,81,27,27,0,0
67,150,1,PREMIUM PLUS,n,25,0,0,0,0
49,39,1,PREMIUM PLUS,n,22,1,1,0,0
53,4,1,PREMIUM PLUS,n,72,26,26,934726,0
90,,1,,n,8,1,1,0,0
62,,1,PREMIUM PLUS,n,25,4,4,801649,0
68,,1,PREMIUM,n,25,4,4,0,0
52,,2,,n,2,1,1,0,0
,,1,,n,0,0,0,0,0
52,,4,PREMIUM PLUS,n,42,1,1,9862980,0
52,,3,PREMIUM PLUS,n,8,0,0,4782894,0
43,,3,,n,0,0,0,0,0
67,,1,,n,0,0,0,0,0
,,1,,n,0,0,0,0,0
,,1,,n,0,0,0,0,0
41,,1,,n,0,0,0,0,0
55,,3,,n,11,0,0,255046,0
,,1,,n,2,0,0,0,0
56,,3,,n,0,0,0,0,0
49,,1,PREMIUM,n,27,3,3,4836275,0
55,91,2,PREMIUM PLUS,n,20,1,1,6635222,0
58,86,1,PREMIUM PLUS,n,19,2,2,2450052,0
85,56,1,ALTA,n,12,2,2,848945,0
,,1,,n,0,0,0,0,0
39,,2,,n,0,0,0,0,0
82,,2,ALTA,n,11,0,0,0,0
63,,6,PREMIUM,n,15,1,1,1342244,0
48,,4,PREMIUM PLUS,n,26,1,1,2495502,0
62,,1,PREMIUM,n,18,0,0,976091,0
,,1,,n,0,0,0,0,0
32,,1,,n,2,1,1,0,0
116,,1,,n,0,0,0,0,0
60,,1,PREMIUM PLUS,n,38,13,13,0,0
46,,1,PREMIUM PLUS,n,24,2,2,11390451,0
82,,1,,n,0,0,0,0,0
,,2,PREMIUM PLUS,n,36,6,6,0,0
58,,1,PREMIUM PLUS,s,70,25,25,3104818,0
52,,2,,n,11,1,1,4179591,0
,,1,,n,20,7,7,0,0
46,,1,PREMIUM PLUS,n,38,9,9,14966182,0
,,1,,n,0,0,0,0,0
49,,4,PREMIUM PLUS,n,26,2,2,0,0
42,,1,PREMIUM PLUS,n,23,7,7,0,0
7,62,3,PREMIUM PLUS,n,66,25,25,0,0
17,136,3,PREMIUM PLUS,n,23,6,6,1170494,0
42,,1,PREMIUM,n,39,4,4,3384950,0
26,152,1,,n,8,0,0,0,0
48,36,1,PREMIUM PLUS,n,40,3,3,138113,0
68,,1,PREMIUM PLUS,n,17,2,2,1561299,0
54,,1,PREMIUM PLUS,n,48,14,14,4361673,0
56,136,1,PREMIUM,n,92,37,37,6273813,0
70,92,1,ALTAa,n,23,5,5,873697,0
116,,1,,n,0,0,0,0,0
69,,1,,n,0,0,0,0,0
,,1,,n,0,0,0,0,0
32,28,1,PREMIUM PLUS,n,26,5,5,0,0
54,26,2,,n,13,2,2,831265,0
40,104,2,,n,41,0,0,0,0
66,,1,PREMIUM PLUS,n,25,0,0,2568452,0
10,119,2,ALTA,n,129,24,24,3910294,0
51,,2,PREMIUM PLUS,n,30,4,4,0,0
60,,1,ALTA,n,15,2,2,0,0
17,108,3,BAJA,n,12,2,2,0,0
63,,1,PREMIUM PLUS,n,18,5,5,7514205,0
15,,5,,n,13,0,0,0,0
48,,1,,n,10,2,2,0,0
60,,1,,n,0,0,0,0,0
,,1,,n,0,0,0,0,0
48,,1,,n,0,0,0,0,0
39,,1,PREMIUM PLUS,n,88,31,31,18346433,0
74,,2,,n,23,5,5,0,0
81,74,1,ALTA,n,8,0,0,211401,0
,33,1,PREMIUM PLUS,n,34,4,4,3428296,0
56,167,3,,n,30,6,6,1524282,0
90,,1,,n,0,0,0,0,0
39,,3,,n,0,0,0,0,0
41,,1,,n,0,0,0,0,0
54,,1,PREMIUM,n,36,9,9,5067486,0
68,,2,,n,18,1,1,0,0
17,,1,,n,102,39,39,1,0
54,134,2,PREMIUM PLUS,n,35,3,3,4552468,0
57,133,3,,n,2,1,1,1153422,0
,,1,,n,0,0,0,0,0
66,,1,,n,0,0,0,0,0
59,,1,PREMIUM PLUS,n,30,6,6,0,0
62,59,2,PREMIUM PLUS,n,27,0,0,3533544,0
62,,1,,n,36,12,12,3807090,0
,,3,PREMIUM,n,16,2,2,0,0
12,147,7,PREMIUM PLUS,n,26,1,1,6485677,0
58,,1,PREMIUM PLUS,n,11,1,1,199026,0
41,,1,,n,0,0,0,0,0
44,130,1,PREMIUM,n,26,2,2,0,0
18,146,7,,n,12,0,0,1998508,0
,,1,,n,0,0,0,0,0
,,1,,n,0,0,0,0,0
57,,1,,n,0,0,0,0,0
81,,1,,n,0,0,0,0,0
68,,1,,n,17,0,0,0,0
57,,1,PREMIUM,n,17,1,1,2852030,0
51,124,1,,n,23,10,10,0,1
11,93,1,ALTA,n,3,2,2,0,1
58,,1,PREMIUM,n,19,8,8,0,1
50,,1,ALTA,n,6,0,0,0,1
,94,7,PREMIUM PLUS,n,2,1,1,0,1
47,,5,PREMIUM PLUS,n,1,0,0,0,1
40,158,1,PREMIUM PLUS,n,11,1,1,0,1
116,82,2,PREMIUM,n,25,9,9,0,1
50,138,1,ALTA,n,17,8,8,0,1
,85,4,,n,6,3,3,0,1
53,59,1,PREMIUM,n,25,9,9,0,1
,36,5,PREMIUM PLUS,n,3,1,1,0,1
0,5,1,ALTA,n,1,5,5,0,1
28,107,1,PREMIUM PLUS,n,15,6,6,0,1
26,,2,ALTA,n,3,1,1,0,1
,13,6,MEDIA,n,2,0,0,0,1
9,111,1,PREMIUM,n,1,0,0,0,1
117,142,2,PREMIUM,n,22,6,6,0,1
51,126,1,ALTA,n,68,27,27,0,1
33,130,2,ALTA,n,40,16,16,0,1
48,24,1,PREMIUM PLUS,n,9,4,4,0,1
,86,2,PREMIUM PLUS,n,6,1,1,0,1
11,53,1,PREMIUM,n,15,7,7,0,1
,,2,PREMIUM PLUS,n,1,0,0,0,1
,36,1,PREMIUM PLUS,n,1,0,0,0,1
,,4,BAJA,n,1,0,0,0,1
18,,4,BAJA,n,11,5,5,0,1
40,,1,PREMIUM PLUS,n,32,13,13,0,1
117,90,2,ALTA,n,24,3,3,0,1
30,27,6,PREMIUM PLUS,n,6,0,0,0,1
,12,2,PREMIUM PLUS,n,3,0,0,0,1
33,,2,PREMIUM,n,136,48,48,0,1
21,,7,BAJA,n,6,1,1,0,1
117,89,2,ALTA,n,34,13,13,0,1
35,,2,PREMIUM PLUS,n,8,0,0,0,1
26,88,1,PREMIUM,n,157,36,36,0,1
116,88,2,ALTA,n,88,38,38,0,1
,39,2,MEDIA,n,6,3,3,0,1
117,104,2,PREMIUM PLUS,n,13,6,6,0,1
,64,2,ALTA,n,12,0,0,0,1
66,,1,PREMIUM PLUS,n,78,32,32,0,1
29,126,1,PREMIUM,n,16,6,6,0,1
,45,2,ALTA,n,0,0,0,0,1
26,36,1,PREMIUM,n,10,2,2,0,1
45,,1,PREMIUM PLUS,n,25,9,9,0,1
0,5,1,,n,1,5,5,0,1
49,97,1,BAJA,n,19,4,4,0,1
38,82,1,ALTA,n,37,16,16,0,1
26,88,1,PREMIUM PLUS,n,35,14,14,0,1
0,5,1,ALTA,n,1,5,5,0,1
,50,4,PREMIUM PLUS,n,4,1,1,0,1
18,,1,PREMIUM,n,2,1,1,0,1
52,89,1,PREMIUM PLUS,n,29,8,8,1404678,1
38,,3,,n,10,1,1,0,1
117,18,1,PREMIUM,n,4,1,1,0,1
46,154,1,ALTA,n,38,14,14,0,1
10,108,1,BAJA,n,44,18,18,0,1
51,164,1,PREMIUM PLUS,n,2,0,0,0,1
,,4,BAJA,n,1,2,2,0,1
37,87,2,PREMIUM,n,9,3,3,0,1
117,92,2,MEDIA,n,9,1,1,0,1
12,,3,PREMIUM PLUS,n,10,1,1,0,1
36,134,2,MEDIA,n,9,2,2,0,1
117,88,2,PREMIUM,n,31,12,12,2305669,1
117,88,2,ALTA,n,54,21,21,0,1
,38,1,MEDIA,n,1,4,4,0,1
16,119,1,PREMIUM PLUS,n,20,5,5,0,1
57,65,3,PREMIUM,n,5,0,0,0,1
48,82,2,ALTA,n,41,17,17,0,1
24,88,1,ALTA,n,23,10,10,0,1
60,,1,PREMIUM,n,20,9,9,0,1
55,132,2,ALTA,n,1,2,2,0,1
34,63,2,PREMIUM PLUS,n,11,1,1,0,1
58,,2,PREMIUM PLUS,n,50,18,18,0,1
,141,5,MEDIIA,n,1,1,1,0,1
25,,2,BAJA,n,1,2,2,0,1
32,117,1,,n,3,0,0,0,1
116,158,2,ALTA,n,131,54,54,0,1
,78,1,PREMIUM PLUS,n,24,6,6,0,1
117,88,1,,n,3,1,1,0,1
,,2,BAJA,n,1,0,0,0,1
44,120,1,ALTA,n,15,5,5,0,1
33,108,3,PREMIUM,n,12,2,2,0,1
71,,2,,n,5,1,1,0,1
54,155,1,PREMIUM PLUS,n,8,4,4,0,1
62,129,1,PREMIUM PLUS,n,44,19,19,0,1
,,2,PREMIUM PLUS,n,2,0,0,0,1
67,116,1,,n,28,9,9,0,1
,100,1,,n,27,11,11,0,1
,85,2,PREMIUM,n,20,8,8,0,1
,9,2,BAJA,n,1,0,0,0,1
29,167,7,PREMIUM PLUS,n,0,0,0,0,1
,73,1,,n,17,6,6,0,1
31,96,1,PREMIUM PLUS,n,17,4,4,0,1
0,5,1,ALTA,n,1,5,5,0,1
,15,1,ALTA,n,1,2,2,0,1
116,77,1,PREMIUM,n,16,1,1,0,1
15,,1,PREMIUM PLUS,n,15,0,0,0,1
,91,1,,n,3,0,0,0,1
,11,1,PREMIUM PLUS,n,4,2,2,0,1
12,151,5,,n,7,3,3,0,1
18,174,1,ALTA,n,36,4,4,0,1
,93,5,BAJA,n,1,0,0,0,1
33,54,1,PREMIUM PLUS,n,4,0,0,0,1
9,97,5,BAJA,n,3,1,1,0,1
117,67,1,ALTA,n,33,14,14,0,1
45,114,1,PREMIUM PLUS,n,58,26,26,0,1
,74,2,PREMIUM PLUS,n,6,1,1,0,1
24,172,2,ALTA,n,3,1,1,0,1
38,125,3,ALTA,n,2,1,1,0,1
39,99,2,PREMIUM,n,135,34,34,0,1
117,89,2,PREMIUM,n,1,0,0,0,1
116,61,3,PREMIUM PLUS,n,29,9,9,0,1
,65,7,BAJA,n,2,0,0,0,1
59,30,1,PREMIUM PLUS,n,3,0,0,0,1
116,99,2,PREMIUM PLUS,n,6,0,0,0,1
47,132,2,PREMIUM,n,72,32,32,0,1
117,144,2,PREMIUM,n,15,0,0,0,1
12,123,1,,n,6,2,2,0,1
,36,1,PREMIUM PLUS,n,21,4,4,0,1
34,139,5,PREMIUM,n,82,27,27,0,1
40,109,2,PREMIUM,n,16,6,6,0,1
41,149,1,PREMIUM,n,12,5,5,0,1
117,75,4,PREMIUM,n,2,0,0,0,1
17,114,3,,n,15,4,4,0,1
24,150,3,,n,2,1,1,0,1
,15,1,,n,4,2,2,0,1
42,,1,PREMIUM PLUS,n,19,4,4,1462329,1
35,109,1,,n,33,14,14,0,1
116,102,1,,n,8,1,1,0,1
,46,3,PREMIUM,n,49,22,22,0,1
,34,5,ALTA,n,0,0,0,0,1
28,157,2,,n,24,9,9,0,1
31,60,1,ALTA,n,14,4,4,0,1
116,71,1,ALTA,n,13,4,4,0,1
,,7,PREMIUM PLUS,n,4,1,1,0,1
26,151,6,BAJA,n,1,1,1,0,1
117,8,1,PREMIUM PLUS,n,2,1,1,0,1
36,152,1,PREMIUM PLUS,n,10,1,1,2766648,1
9,97,5,BAJA,n,7,1,1,0,1
39,102,3,PREMIUM,n,24,8,8,0,1
20,,2,,n,9,1,1,0,1
38,109,3,ALTA,n,19,8,8,0,1
,27,4,PREMIUM PLUS,n,0,0,0,0,1
,10,6,PREMIUM,n,4,2,2,0,1
23,40,1,,n,5,2,2,0,1
47,,1,PREMIUM PLUS,n,11,0,0,0,1
27,89,1,BAJA,n,80,38,38,0,1
17,163,2,PREMIUM PLUS,n,2,1,1,0,1
,,1,PREMIUM,n,1,0,0,0,1
32,113,2,PREMIUM,n,0,0,0,0,1
,108,7,PREMIUM PLUS,n,13,6,6,0,1
117,163,2,PREMIUM,n,23,11,11,0,1
36,89,1,PREMIUM PLUS,n,46,17,17,0,1
49,80,3,PREMIUM,n,20,4,4,0,1
63,115,3,PREMIUM,n,50,18,18,0,1
,82,1,BAJA,n,2,1,1,0,1
51,129,1,PREMIUM,n,35,13,13,0,1
39,60,1,,n,6,0,0,0,1
33,137,1,PREMIUM,n,18,7,7,0,1
38,116,1,PREMIUM PLUS,n,75,30,30,0,1
,45,2,PREMIUM PLUS,n,0,0,0,0,1
24,91,1,PREMIUM PLUS,n,4,1,1,0,1
24,124,1,BAJA,n,3,0,0,0,1
48,123,2,PREMIUM PLUS,n,5,2,2,0,1
40,127,1,,n,6,2,2,0,1
24,66,1,PREMIUM,n,2,0,0,0,1
55,171,2,PREMIUM PLUS,n,4,1,1,0,1
28,34,1,PREMIUM PLUS,n,9,3,3,0,1
,72,3,PREMIUM PLUS,n,6,0,0,0,1
,39,1,PREMIUM PLUS,n,7,2,2,0,1
36,131,1,ALTA,n,60,23,23,0,1
,,1,,n,3,1,1,0,1
24,141,3,PREMIUM,n,10,3,3,0,1
117,50,3,MEDIA,n,26,11,11,0,1
44,159,1,,n,14,5,5,0,1
48,132,1,,n,27,8,8,0,1
34,127,1,PREMIUM PLUS,n,10,1,1,0,1
,41,1,PREMIUM,n,12,6,6,0,1
9,111,1,MEDIA,n,1,0,0,0,1
33,160,1,,n,7,2,2,0,1
71,,1,PREMIUM PLUS,n,78,30,30,0,1
25,88,1,MEDIA,n,6,0,0,0,1
22,30,2,PREMIUM,n,28,12,12,0,1
40,135,1,PREMIUM PLUS,n,3,0,0,0,1
57,124,2,ALTA,n,19,9,9,0,1
71,109,1,,n,64,30,30,0,1
49,,1,PREMIUM PLUS,n,7,1,1,0,1
20,,2,PREMIUM PLUS,n,1,1,1,0,1
17,134,2,PREMIUM PLUS,n,1,1,1,0,1
,87,4,PREMIUM PLUS,n,2,0,0,0,1
,29,2,BAJA,n,12,4,4,0,1
27,90,1,PREMIUM PLUS,n,59,27,27,0,1
47,89,1,,n,12,5,5,22405,1
3,17,3,PREMIUM PLUS,n,6,1,1,0,1
116,51,1,PREMIUM,n,7,2,2,0,1
47,149,1,,n,23,3,3,0,1
,45,1,PREMIUM,n,4,2,2,0,1
19,,5,BAJA,n,0,0,0,0,1
0,5,1,ALTA,n,1,5,5,0,1
,160,3,BAJA,n,4,5,5,0,1
,,3,PREMIUM,n,4,0,0,0,1
39,154,1,PREMIUM PLUS,n,57,27,27,0,1
45,122,1,PREMIUM,n,48,21,21,0,1
,6,2,PREMIUM PLUS,n,4,2,2,0,1
,57,1,PREMIUM,n,68,28,28,0,1
26,,2,,n,1,0,0,0,1
9,111,1,PREMIUM,n,1,0,0,0,1
24,124,1,BAJA,n,1,0,0,0,1
21,38,1,ALTA,n,46,17,17,0,1
27,111,1,PREMIUM,n,67,31,31,0,1
44,,1,PREMIUM PLUS,n,11,4,4,0,1
36,89,2,PREMIUM,n,30,14,14,0,1
24,150,3,,n,2,1,1,0,1
,,2,PREMIUM,n,2,0,0,0,1
116,40,1,PREMIUM PLUS,n,52,24,24,0,1
41,112,2,PREMIUM,n,24,10,10,0,1
,86,2,PREMIUM PLUS,n,9,0,0,0,1
116,68,1,PREMIUM,n,8,1,1,0,1
117,123,1,PREMIUM,n,20,6,6,0,1
116,113,3,PREMIUM,n,22,7,7,0,1
44,81,1,PREMIUM,n,23,11,11,0,1
,34,5,BAJA,n,0,0,0,0,1
40,34,1,,n,9,2,2,0,1
26,74,1,PREMIUM,n,22,9,9,0,1
,5,3,,n,4,2,2,0,1
55,,1,PREMIUM PLUS,n,18,6,6,0,1
117,86,1,PREMIUM PLUS,n,14,6,6,0,1
10,109,7,BAJA,n,0,0,0,0,1
25,76,1,PREMIUM PLUS,n,18,6,6,0,1
,,1,BAJA,n,6,3,3,0,1
40,122,1,PREMIUM PLUS,n,7,2,2,0,1
117,14,2,PREMIUM PLUS,n,5,1,1,0,1
,59,4,PREMIUM PLUS,n,13,2,2,0,1
,62,3,PREMIUM PLUS,n,90,39,39,0,1
33,34,1,PREMIUM PLUS,n,20,9,9,0,1
13,139,3,BAJA,n,7,2,2,0,1
51,,1,,n,2,1,1,0,1
117,88,1,PREMIUM,n,13,5,5,0,1
26,68,1,PREMIUM,n,10,4,4,5096826,1
29,126,2,PREMIUM PLUS,n,4,0,0,0,1
,156,1,PREMIUM,n,4,2,2,0,1
,50,4,PREMIUM PLUS,n,4,1,1,0,1
28,,6,PREMIUM PLUS,n,15,1,1,0,1
27,64,1,PREMIUM,n,69,30,30,0,1
,28,1,PREMIUM,n,2,1,1,0,1
,100,3,PREMIUM PLUS,n,12,6,6,0,1
33,137,1,PREMIUM,n,26,12,12,0,1
,,2,MEDIA,n,2,1,1,0,1
10,105,5,,n,48,16,16,0,1
36,19,1,PREMIUM PLUS,n,11,4,4,0,1
,20,1,PREMIUM,n,6,1,1,0,1
42,89,1,PREMIUM PLUS,n,2,0,0,0,1
,50,4,PREMIUM PLUS,n,4,1,1,0,1
45,49,1,PREMIUM PLUS,n,17,7,7,0,1
117,87,2,ALTA,n,28,10,10,0,1
42,137,2,PREMIUM PLUS,n,4,0,0,0,1
117,148,2,PREMIUM PLUS,n,8,4,4,0,1
